OBJECTID;SOURCE;X_Este;Y_Norte;MINERAL_PPAL;FORMA_OCURRENCIA;ID_NOM_DEP;IG_MUN;IG_DEP
213;SGC;801174.97;1274802.917;Oro-Au;Sin información;No Indicado_05_0035;Peque;Antioquia
214;SGC;939341.656;1201252.154;Oro-Au;Veta;El Vapor;Puerto Berrío;Antioquia
215;SGC;938892.448;1205333.532;Oro-Au;Veta;Mina El Infierno;Puerto Berrío;Antioquia
216;SGC;957959.794;1271594.087;Oro-Au;Veta;La Gorgona;Remedios;Antioquia
217;SGC;923254.286;1270771.152;Oro-Au;Veta;La Parcela;Remedios;Antioquia
218;SGC;927668.587;1274812.706;Oro-Au;Veta;Mina La Fortuna;Remedios;Antioquia
219;SGC;926672.09;1257560.786;Oro-Au;Veta;Mina Los Indios;Remedios;Antioquia
220;SGC;931764.709;1272694.714;Oro-Au;Veta;Mina Providencia;Remedios;Antioquia
221;SGC;928273.502;1256729.104;Oro-Au;Veta;Mina Quintana;Remedios;Antioquia
222;SGC;927375.556;1270698.858;Oro-Au;Veta;Mna Monteverde;Remedios;Antioquia
223;SGC;920104.433;1270256.091;Oro-Au;Veta;San Mateo;Remedios;Antioquia
224;SGC;843778.69;1172716.992;Cromo-Cr;Sin información;No Indicado_05_0036;Retiro;Antioquia
225;SGC;841659.087;1175012.489;Cromo-Cr;Sin información;Sector Sur-Área El Carmelo- C-1;Retiro;Antioquia
226;SGC;842250.202;1172488.737;Cromo-Cr;Sin información;Sector Sur-Área El Chagualo-CH-1;Retiro;Antioquia
227;SGC;813954.416;1256920.155;Oro-Au;Veta;Mina Manteñe;Sabanalarga;Antioquia
228;SGC;807195.407;1234484.267;Oro-Au;Veta;No Indicado_05_0063;Sabanalarga;Antioquia
229;SGC;894680.28;1172217.586;Oro-Au;Veta;La Tupiada;San Carlos;Antioquia
230;SGC;889015.048;1173577.281;Oro-Au;Veta;MIna Sagrado Corazón de María;San Carlos;Antioquia
231;SGC;897745.372;1171504.376;Oro-Au;Sin información;San Miguel 1;San Carlos;Antioquia
232;SGC;895761.99;1157671.533;Oro-Au;Sin información;La Primavera 1;San Luis;Antioquia
233;SGC;891380.201;1165443.553;Oro-Au;Veta;MIna El Higuerón;San Luis;Antioquia
234;SGC;903016.176;1151841.971;Oro-Au;Veta;Mina La Mesa;San Luis;Antioquia
235;SGC;907517.727;1211580.741;Oro-Au;Veta;Gramalote;San Roque;Antioquia
236;SGC;797349.013;1206869.78;Oro-Au;Diseminado;No Indicado_05_0069;Santa Fe de Antioquia;Antioquia
237;SGC;799228.235;1224665.753;Oro-Au;Veta;No Indicado_05_0101;Santa Fé de Antioquia;Antioquia
238;SGC;808248.993;1216258.129;Oro-Au;Aluvial;Santa Fé de Antioquia;Santa Fé de Antioquia;Antioquia
239;SGC;852030.221;1225195.283;Oro-Au;Veta;Mina San Miguel;Santa Rosa de Osos;Antioquia
240;SGC;857024.202;1223058.218;Oro-Au;Zona de Cizalla;Mina San Ramón;Santa Rosa de Osos;Antioquia
241;SGC;883496.251;1214280.076;Oro-Au;Veta;Mina Guaico;Santo Domingo;Antioquia
242;SGC;932421.231;1292911.136;Oro-Au;Stockwork;El Picacho;Segovia;Antioquia
243;SGC;917568.015;1293873.348;Oro-Au;Veta;La Aurora;Segovia;Antioquia
244;SGC;915697.49;1298057.198;Oro-Au;Veta;Mina El Cristo;Segovia;Antioquia
245;SGC;930345.727;1293511.193;Oro-Au;Veta;Mina El Pescado;Segovia;Antioquia
246;SGC;930232.119;1275052.492;Oro-Au;Veta;Mina El Silencio;Segovia;Antioquia
247;SGC;932607.9;1275370.067;Oro-Au;Veta;Mina Sandra K;Segovia;Antioquia
248;SGC;868648.864;1128368.348;Oro-Au;Sin información;No Indicado_05_0042;Sonsón;Antioquia
249;SGC;875438.895;1122149.607;Oro-Au;Veta;No Indicado_05_0043;Sonsón;Antioquia
250;SGC;861861.719;1130252.109;Oro-Au;Veta;No Indicado_05_0047;Sonsón;Antioquia
251;SGC;867906.212;1122839.415;Oro-Au;Veta;No Indicado_05_0048;Sonsón;Antioquia
252;SGC;884362.487;1124787.373;Oro-Au;Sin información;San Andrés;Sonsón;Antioquia
253;SGC;884505.788;1130483.215;Oro-Au;Sin información;San Andrés 2;Sonsón;Antioquia
254;SGC;878609.158;1122973.065;Oro-Au;Sin información;Siglo XX;Sonsón;Antioquia
255;SGC;917994.805;1123961.154;Oro-Au;Aluvial;Sonsón- San Miguel-Limones;Sonsón;Antioquia
256;SGC;808092.855;1162543.617;Oro-Au;Diseminado;Cerro Vetas;Titiribí;Antioquia
257;SGC;808614.761;1159488.365;Oro-Au;Stockwork;Margarita;Titiribí;Antioquia
258;SGC;809862.268;1165215.404;Oro-Au;Veta;Mina El Zancudo;Titiribí;Antioquia
259;SGC;811572.722;1159733.528;Oro-Au;Stockwork;Rosa;Titiribí;Antioquia
260;SGC;768108.831;1259215.832;Cobre-Cu;Sin información;No Indicado_05_0129;Uramita;Antioquia
261;SGC;763219.911;1256537.358;Cobre-Cu;Sin información;No Indicado_05_0132;Uramita;Antioquia
262;SGC;750769.582;1191208.007;Platino-Pt;Aluvial;No Indicado_05_0050;Urrao;Antioquia
263;SGC;750519.284;1199841.661;Platino-Pt;Aluvial;No Indicado_05_0052;Urrao;Antioquia
264;SGC;748361.507;1207587.399;Platino-Pt;Aluvial;No Indicado_05_0053;Urrao;Antioquia
265;SGC;734579.736;1207883.124;Platino-Pt;Aluvial;No Indicado_05_0054;Urrao;Antioquia
266;SGC;731761.207;1213486.234;Platino-Pt;Aluvial;No Indicado_05_0055;Urrao;Antioquia
267;SGC;748625.541;1217071.152;Platino-Pt;Aluvial;No Indicado_05_0056;Urrao;Antioquia
268;SGC;759531.692;1205137.084;Oro-Au;Veta;No Indicado_05_0073;Urrao;Antioquia
269;SGC;745560.61;1202652.687;Cobre-Cu;Sin información;Urrao;Urrao;Antioquia
270;SGC;937210.158;1252946.414;Oro-Au;Aluvial;La Picadera;Vegachí;Antioquia
271;SGC;924731.082;1252708.259;Oro-Au;Veta;Moná;Vegachí;Antioquia
